session,cash,position_value,equity,open_positions,exposure_pct,daily_return,running_peak,drawdown_pct,benchmark_equity
2022-01-13,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,224432.57676902536
2022-01-14,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,224525.00770257777
2022-01-18,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,220550.47755982334
2022-01-19,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,218260.24442846872
2022-01-20,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,215846.77005237748
2022-01-21,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,211605.21721269382
2022-01-24,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,212503.85128889797
2022-01-25,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,209910.65009756596
2022-01-26,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,209386.87480743552
2022-01-27,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,208349.59433090274
2022-01-28,156235.56583200092,0.0,156235.56583200092,0,0.0,0.0,164319.00849060089,-0.04919359441645083,213525.72660983872
2022-01-31,118209.74772200095,38588.13,156797.87772200094,1,0.24610109881981868,0.0035991285787300153,164319.00849060089,-0.045771519909275506,217371.8804559926
2022-02-01,4609.812127000958,153067.75,157677.56212700094,4,0.9707643112639706,0.00561030810990748,164319.00849060089,-0.04041800412871792,218840.5052891034
2022-02-02,4609.812127000958,153595.02,158204.83212700096,4,0.9708617488794502,0.0033439761046998306,164319.00849060089,-0.03720918486402416,220966.41676080925
2022-02-03,78857.60849220095,75974.32999999999,154831.93849220092,2,0.4906890060271829,-0.02131978896885023,164319.00849060089,-0.057735681863870486,215769.74427441714
2022-02-04,78857.60849220095,76138.65,154996.25849220093,2,0.4912289544320267,0.0010612797437028476,164319.00849060089,-0.0567356758298187,216786.48454349386
2022-02-07,41228.343532200946,113265.87000000001,154494.21353220096,3,0.7331398853743619,-0.003239077929260037,164319.00849060089,-0.059790982483696714,216093.25254185064
2022-02-08,3494.4865322009427,152728.69,156223.17653220095,4,0.9776314461799421,0.011191118168575542,164319.00849060089,-0.04926899226551154,217869.98048680287
2022-02-09,3494.4865322009427,155151.40999999997,158645.89653220092,4,0.9779730417956846,0.01550807027343093,164319.00849060089,-0.03452498898643532,221058.8476943617
2022-02-10,3494.4865322009427,152431.2,155925.68653220095,4,0.9775887693046695,-0.01714642521149501,164319.00849060089,-0.051079434056346754,217084.31755160724
2022-02-11,77298.19892310095,76247.63,153545.82892310095,2,0.4965789727716176,-0.015262768194440612,164319.00849060089,-0.06556258868928216,212806.8193488754
2022-02-14,115296.71486310095,37944.0,153240.71486310096,1,0.24761043456301826,-0.001987120471717896,164319.00849060089,-0.0674194283988368,212108.45229536816
2022-02-15,115296.71486310095,38960.0,154256.71486310096,1,0.25256599062527707,0.006630091754059375,164319.00849060089,-0.06123633364106801,215528.39683680804
2022-02-16,115296.71486310095,39042.0,154338.71486310096,1,0.2529631015434488,0.0005315813971065175,164319.00849060089,-0.060737304339752024,215769.74427441714
2022-02-17,114519.14675550096,38042.0,152561.14675550096,1,0.24935575543993022,-0.011517318316254688,164319.00849060089,-0.07155509178825456,211163.6027523878
2022-02-18,114519.14675550096,37714.0,152233.14675550096,1,0.24773842493430032,-0.002149957620111942,164319.00849060089,-0.0735512089935185,209797.67895655744
2022-02-22,151459.38689550094,0.0,151459.38689550094,0,0.0,-0.005082729198541358,164319.00849060089,-0.07826009731452051,207543.391188251
2022-02-23,151459.38689550094,0.0,151459.38689550094,0,0.0,0.0,164319.00849060089,-0.07826009731452051,203918.04457225016
2022-02-24,151459.38689550094,0.0,151459.38689550094,0,0.0,0.0,164319.00849060089,-0.07826009731452051,206778.26846051143
2022-02-25,151459.38689550094,0.0,151459.38689550094,0,0.0,0.0,164319.00849060089,-0.07826009731452051,211497.38112354933
2022-02-28,41132.69710550095,111642.0,152774.69710550096,3,0.7307623717486664,0.008684243591369656,164319.00849060089,-0.07025548347171448,210953.0656259628
2022-03-01,41132.69710550095,109805.57,150938.26710550097,3,0.7274866215553506,-0.012020511477314977,164319.00849060089,-0.08143148810361339,207743.6582109479
2022-03-02,41132.69710550095,111963.39000000001,153096.08710550098,3,0.7313275741844678,0.014296043285641824,164319.00849060089,-0.06829959289671507,211564.13679778163
2022-03-03,4238.78466050094,147397.91999999998,151636.70466050092,4,0.9720464469998135,-0.009532460774091311,164319.00849060089,-0.07718099048063204,210511.45116565673
2022-03-04,76519.10605040095,73030.94,149550.04605040094,2,0.48833779680273265,-0.013760907128467337,164319.00849060089,-0.08987981716701228,208801.47889493682
2022-03-07,148365.70447020093,0.0,148365.70447020093,0,0.0,-0.007919366202006173,164319.00849060089,-0.0970873921827035,202644.55170997223
2022-03-08,148365.70447020093,0.0,148365.70447020093,0,0.0,0.0,164319.00849060089,-0.0970873921827035,201109.1712026291
2022-03-09,148365.70447020093,0.0,148365.70447020093,0,0.0,0.0,164319.00849060089,-0.0970873921827035,206500.97565985413
